time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,λ,strategies,u,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,UB&PB,0.55,45069
2500,0.9879595336668605,0.28870022829798264,0.1575952123678985,0.49893665126746406,0.8540681473870626,0.7741133947895534,0.9260043581428349,0.7387528520419567,0.4368301443689773,0.8816305463956569,0.9340966595593465,0.0659033404406537,0.01542566512925955,0.010219354772953548,0.0008210936701945633,0.026979650905476358,6.973467174182111e-6,0.04490554409652058,0.01749899882091244,0.011485425943873166,0.0004161077332249449,0.03169353969723172,0.013290824643174225,0.00805116620491693,0.0005625725459696758,0.02296050874794551,0.08899893978709876,0.08351801448668884,0.06065127114932034,0.10653995128811318,0.01641453402783626,1.1587435635015504,4069.5736797118648,3713.529294154596,4412.935313198011,0.55,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,UB&PB,0.55,45069
2500,0.9897270895992908,0.4346956311335617,0.300153914350883,0.5889216909266854,0.8724053771411473,0.7743777368882722,0.940558555598323,0.5780598233508613,0.34567106470463455,0.8285064803415022,0.9179026297086013,0.08209737029140018,0.019635398703965922,0.016919829834768207,0.0031480111247687817,0.03232151348523613,3.347816452387808e-5,0.0500257527262521,0.02126603022142711,0.01882913647907906,0.0021466956891915065,0.0359745446035016,0.018091996524338908,0.015217510815962142,0.0026572128876219893,0.02955316295277197,0.08581189220910246,0.08358901089370922,0.07052800057987392,0.09666480696115158,0.016087663928914916,1.0096797583916948,5859.894384147192,5316.568917681662,6381.1640693019035,0.6,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,UB&PB,0.55,45069
2500,0.9909494391298557,0.2466697291558634,0.12153354217954403,0.4760009139170442,0.8838190408050434,0.7755163353280573,0.9518825402069525,0.49428072255011446,0.2906226623636595,0.6740999503050512,0.907382373845059,0.09261762615493957,0.02391710995394732,0.023438813133848848,0.007232976688036926,0.03682607866458263,0.00028766644567615636,0.05405022475377471,0.026256072661086705,0.02675402546440568,0.006803215745457552,0.041136999582277185,0.021473189196570867,0.020754520109570584,0.005447332676502413,0.033153749839721934,0.09023495242450293,0.08330245525918388,0.05552923796490256,0.11110243282436384,0.024338149735673904,1.1674878460375528,4323.772111838279,3896.171274355276,4650.721572244853,0.65,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,UB&PB,0.55,45069
2500,0.9904478653722796,0.20052805791800993,0.07778932556889954,0.5603512629444025,0.8150322044781309,0.698180904412281,0.9006016906456268,0.5870438976379123,0.4231283153281927,0.7643018086195839,0.9284378109452736,0.07156218905472646,0.027189850962214292,0.026217952008499124,0.008142894728262127,0.04251534782548583,0.0002630613190578535,0.06139534518883796,0.030242808164520765,0.030596678973063975,0.007629361520416919,0.0479048502967945,0.02368132130674382,0.022267817036225,0.005365125500177765,0.03764659514421215,0.09324607677116883,0.08403423992052501,0.051900602442743034,0.11626055503348963,0.02531524155404214,1.2536833226505841,3115.7538387034824,2755.09296149741,3417.4025979862317,0.7,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,UB&PB,0.55,45069
2500,0.9923834544950194,0.26735268926676253,0.15743272605213082,0.49948366647423287,0.8354999134713199,0.717459437371246,0.9186646215544472,0.6785199529960302,0.4143273812683082,0.8667710895835292,0.9102594171997157,0.08974058280028424,0.03215334686204905,0.033321334172134696,0.01240517685196896,0.0482783082889585,0.0007095990794227109,0.06664354834927406,0.03471614821287337,0.036924998623310216,0.012430852375655253,0.052902374838449895,0.029178839920406888,0.030286118947077598,0.009698945697406522,0.044133892082934,0.08896952528479697,0.0837100596383542,0.06008781504780823,0.10735863128613991,0.02441869496593851,1.1138538482117806,3454.5404109020674,3061.5125236846793,3783.3478705398966,0.75,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,UB&PB,0.55,45069
2500,0.993254815540726,0.48126162562572855,0.31877782055464604,0.688622998030293,0.8607892539453958,0.7665109780151086,0.933447488443538,0.33738696938161267,0.18913619179832178,0.5056604842325495,0.854073916133617,0.14592608386638228,0.042994075803622266,0.045530432963988156,0.03005637671662559,0.055936386517100395,0.0072601276591888,0.07261161099766142,0.04359507054920468,0.04762130396684718,0.030108483327669352,0.058521058774049575,0.04206499449040527,0.04434666440200432,0.0300143784151499,0.054009172044810476,0.08623051487778689,0.08351792687846879,0.07051178454842763,0.09667817429719626,0.04429749944913051,1.095025394717644,7988.142042169643,7149.075082179092,8883.087079439236,0.8,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,UB&PB,0.55,45069
2500,0.9922944740891121,0.4560127086929177,0.31745835016412366,0.6282869075589135,0.781418702409421,0.6412306412175272,0.884376204144936,0.43805657077048504,0.25352100889674994,0.62453555082761,0.8489637526652438,0.15103624733475485,0.049591040290198014,0.053198294863987916,0.03385301023015665,0.06566528858140964,0.006944042516119249,0.0833868337406627,0.04997187607337856,0.05531567093589495,0.033175310680440245,0.06846704385075679,0.04855731662674474,0.05209622457294244,0.03385059885023215,0.06353718052271265,0.08799420325970933,0.08348033132755528,0.064444635731503,0.10259711929156037,0.0511829325833923,1.0455071984642987,8743.461465990433,7138.813603522341,10772.070683664726,0.85,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,UB&PB,0.55,45069
2500,0.9958081510808331,0.670803814996338,0.45766791784823824,0.8336817863905803,0.8256394997125823,0.6766893150694692,0.9166156501939929,0.38209759924039455,0.22270227478526863,0.5455513500026963,0.7322409381663108,0.26775906183368886,0.06005855761280342,0.06437495591163073,0.04971183812435194,0.07340427113889532,0.01821851721569559,0.0870367327893373,0.05871344637799556,0.06509183609838981,0.04863236624868474,0.07441813162793477,0.06079399119966849,0.06454952098655031,0.05168115072872238,0.07304331917955824,0.08465364102381949,0.08309976058810288,0.0750118424086574,0.09120148228404486,0.06155985813330381,0.9777366171990467,13140.585378343387,10443.943158546797,16528.14267409506,0.9,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,UB&PB,0.55,45069
2500,0.9957379547478529,0.40150078534693145,0.1970278063146918,0.6389179493511742,0.5404331524364574,0.3636366441768428,0.6864269689669737,0.4642347053930088,0.31459327500573186,0.6072990695156016,0.8204548685145695,0.1795451314854298,0.07983875271063087,0.08269978548766643,0.068403594943269,0.09387452271201854,0.03629032039665392,0.1122417789361144,0.07860783870337876,0.08390190916626461,0.06783947799826648,0.09667216893176542,0.07912636927340498,0.082100332419733,0.06893063428985144,0.09132738780430702,0.08677035775140711,0.083285449522269,0.06729485341602258,0.09934802457295604,0.08657138339125955,0.9718263619959049,2089.1538183385546,1633.0786486865907,2654.239437546966,0.95,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,UB&PB,0.55,45069
