time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,UB&PB,45069
2500,1.1112188416347195,0.8492854657311255,0.756906864125025,0.9230525863857221,0.028090447005978115,0.009703785421200982,0.05494869536069967,0.7315607733102136,0.5811906148229351,0.8598155795323055,0.2496702203269362,0.750329779673063,0.3368085943301793,0.359809980834241,0.2417472068588193,0.4246902238451613,0.10592880132724489,0.5429430263754611,0.34386636340455407,0.36556359619209366,0.25163331907386993,0.42814379606698927,0.40535984114881574,0.4159794666375784,0.35102404252507313,0.4630574237632738,0.4199223002336855,0.4196764951469768,0.4158965969043838,0.42355807641172805,0.2411527932569989,0.8040429882148938,9368.048587065961,2285.004429365917,49293.73988957579,0.8,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,UB&PB,45069
2500,1.117831362638442,0.8411223481174371,0.7457855658988357,0.9193526722018293,0.02662931278821623,0.008987747473496928,0.052519932553246766,0.6386460496593096,0.4975534712435119,0.7897403748463117,0.22141364605543695,0.7785863539445618,0.34150877579001987,0.3670983060107581,0.2637534885221553,0.41171367272924925,0.1254941276747951,0.5290039599858698,0.34766347051892915,0.3692157668461528,0.27329989479333244,0.4156696733483745,0.39333680713469527,0.4016782235105299,0.3450818985795503,0.44457576380942676,0.4044602880280527,0.404130370870565,0.40029215610540486,0.4081294679915873,0.6154077825213163,0.9661088776484301,8244.306041429807,2054.4458225084336,43554.655283372056,0.85,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,UB&PB,45069
2500,1.147074372829592,0.8284330417077354,0.7254407741884004,0.9095086899404291,0.027042717985217155,0.009239349316609443,0.05338210732551679,0.6571004070834722,0.5231269599418436,0.8125615634114042,0.18435181236673764,0.815648187633262,0.3702946642529992,0.3933345562764472,0.3091095926995306,0.42788110104145116,0.16486662471261995,0.5446627240091942,0.37630503947129046,0.39405321879006133,0.31792473222318096,0.43321172330153457,0.40831261038746025,0.41476370228369946,0.3632530159047654,0.4556223723906471,0.4168104856115389,0.41653710258287,0.41263105139714057,0.4205716415855256,0.6416900402521464,1.0405457996532619,7099.593276448629,1842.4445612252582,36646.6044720205,0.9,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,UB&PB,45069
2500,1.1624164402157664,0.8747261240621688,0.7811920233725987,0.9398699465205937,0.027795669393020674,0.00950043889293036,0.0548553435640585,0.6466003671037699,0.47522825826685156,0.8333799935091389,0.14567803837953067,0.854321961620468,0.3832219761915634,0.3979970991293991,0.3344587394940155,0.42960950304555545,0.1964022066273506,0.5510070314248975,0.3875740842586694,0.3971885507328593,0.34027476024606534,0.43406512534096064,0.40908526444350324,0.4135583452866332,0.3608422250061957,0.4579332703791218,0.4150195187193066,0.41471370347611153,0.410992978405962,0.4185528023165663,0.06622433619104622,0.9878999106728188,9241.623422451066,2143.643849886088,50870.5536603629,0.95,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,UB&PB,71554
2500,0.915979205831037,0.7384532512017686,0.5827209114996916,0.8534006489999669,0.8316144188087867,0.734514658185659,0.9112101709056721,0.8987277804862527,0.8205006935214577,0.9518184989786829,0.9598223169864943,0.040177683013503974,0.08421294996378041,0.020717222461261647,0.00267343113198554,0.10814200270990754,0.0001059841205347123,0.3863211434609323,0.08804339991986004,0.023411441180901132,0.003129399751770425,0.11643369033731626,0.15140741612183067,0.10059489708156598,0.033215820284704635,0.23711347923177167,0.413456976750907,0.4130925486014387,0.4078871328506656,0.4185161690084425,0.033850013228752675,0.4315670946736902,45922.99363105506,22908.39369422581,89700.19857866057,0.05,UB&PB,71554
