time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,init_soc_v,λ,strategies,mu_soc_v,t,seed
4,0.0,0.0,0.020900210455550863,0.020900210455550863,0.1834857559764158,0.8462427744316405,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.020398898879249047,0.020398898879249047,0.18432309620602016,0.8458897944809404,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.01918498235848773,0.01918498235848773,0.1864366137886374,0.8392197392051512,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.020507073605870972,0.020507073605870972,0.1874976988419041,0.8383821041790701,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.021997818800182714,0.021997818800182714,0.18428194420215993,0.8439921495869037,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.021998548731970616,0.021998548731970616,0.1829732699131134,0.8423898447555132,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.020344267021017666,0.020344267021017666,0.18520837957632133,0.8408104338088331,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.028066751810365054,0.028066751810365054,0.17774109078018746,0.8544833425815969,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.026668483081940263,0.026668483081940263,0.17723602743876438,0.8531983294054323,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.03197522208940601,0.03197522208940601,0.1750309394106284,0.8532701295731105,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.03021997228002921,0.03021997228002921,0.17491260979939574,0.8535817094385939,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.024612883787732867,0.024612883787732867,0.17750573941464892,0.8496968732902525,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.02887908297517969,0.02887908297517969,0.17575563681590814,0.8519742008923582,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.030608805759667998,0.030608805759667998,0.1735282573019319,0.8529184178601756,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.028266807310548814,0.028266807310548814,0.17738476722540067,0.8487399148790119,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.031726230560020156,0.031726230560020156,0.17164565471144225,0.8560007022409323,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.028468717131065788,0.028468717131065788,0.1794255475717031,0.8514800991430895,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.028280205230568192,0.028280205230568192,0.17702065047366444,0.8520311946523553,1000,0.55,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.03433436067248753,0.03433436067248753,0.16986878096836255,0.863426260573565,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.03851271909011944,0.03851271909011944,0.16814283752939732,0.8634693067444089,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.035251572509592294,0.035251572509592294,0.17283366381200937,0.8593302936479738,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.03699988169854608,0.03699988169854608,0.16982671593331528,0.8619497966233287,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.03578535422306883,0.03578535422306883,0.16818592614954564,0.8640944095700381,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.038421746218410074,0.038421746218410074,0.16536952655644874,0.8667019777659911,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.03372854698062528,0.03372854698062528,0.17101333737415378,0.8609789832630186,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.04043541108944658,0.04043541108944658,0.16576179008619468,0.8634063646312693,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.03732337501001358,0.03732337501001358,0.16587943747040085,0.8653362636837939,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.038483255238014144,0.038483255238014144,0.16791226082526,0.8618986389778636,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.03990333831357849,0.03990333831357849,0.1675927021689232,0.8639604532963653,1000,0.6,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.04693957186303954,0.04693957186303954,0.1591588374004668,0.8724299484613636,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.045377202022944534,0.045377202022944534,0.16201357667382804,0.8717499926148321,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.04690522786160203,0.04690522786160203,0.1599700335869329,0.8713362001321016,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.04831555398244811,0.04831555398244811,0.15901079917576383,0.8755558835477429,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.04669485868307722,0.04669485868307722,0.15920963415877226,0.8757875358285515,1000,0.65,0.1,25,0.0,1.5,UB,0.0,25,1
