time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,T,aleph,strategies,seed
2500,1.0440785357222482,0.08459392154020226,0.039146087306089074,0.14317280567874494,0.028086944659969006,0.009955488662013142,0.05403790115171197,0.7121735732386305,0.6001447209337134,0.8172957174698028,0.9526560056858567,0.0473439943141436,0.3899819919800626,0.3773133256277158,0.19298300035831137,0.5795021316395658,0.013911584402148156,0.8004032441138821,0.43402257771356295,0.4201735652787974,0.22132437097495555,0.6518246299098991,0.44125078932907175,0.44644718557450924,0.3717305198913609,0.5155492342382134,0.4196259689499574,0.43158904137584936,0.32464015836814514,0.525617637741075,0.37509133098642655,0.8659889394009741,565.439778598695,535.8369149993156,605.7784951809821,500,0.85,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.9,UB&PB,45069
2500,1.06849021574131,0.0660181363366266,0.02925283462354478,0.1183742063817963,0.027283641627858624,0.009664480144695675,0.05230639214683071,0.7145308110041491,0.6008580414478937,0.8288543133890952,0.954071783937456,0.04592821606254445,0.4056584586002852,0.39251358610821885,0.20384347093845828,0.6040440285717034,0.019279474353467926,0.819840711401357,0.4426851542735342,0.42977731523681934,0.2238003386007538,0.6664377799917465,0.44693999780225624,0.45418827826988734,0.3719745091642817,0.5288831315242483,0.4202428649939086,0.4347077528246121,0.31237800458706655,0.5428580594838882,0.3891799476480203,0.87488106125573,558.1351368333675,533.034509002075,594.0471703673747,500,0.9,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.95,UB&PB,45069
2500,1.1021736757592409,0.062114207104852735,0.02606592821892046,0.1118167354503277,0.024884499733803616,0.008355301284622065,0.04854060702961779,0.7397849340096057,0.6263397133406838,0.8494340832348528,0.9483056147832263,0.0516943852167733,0.42459369384395534,0.41308260860455526,0.21709613663662286,0.6307965843590573,0.029776211268781657,0.8387608429880811,0.4516495496151837,0.4405980337648439,0.2251235780312754,0.6819027728060998,0.4519154299670682,0.460870891358242,0.37327072562615377,0.5387423517869541,0.4207366508747393,0.43677788541133555,0.30719643703485294,0.549976402869581,0.4241726241490164,0.9377678176947097,552.4846750784692,531.2948587579926,582.9540340033136,500,0.95,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.05,UB&PB,71554
2500,0.9043549400326699,0.13421236548823048,0.06239373310565792,0.2211136353046218,0.843894699419225,0.7420872922032054,0.9287666827238384,0.8425332871225757,0.6854013303929635,0.9232648146935707,0.9718329779673076,0.02816702203269371,0.03769957107976804,4.4907318373539746e-5,1.4932651607166758e-7,0.011302194525967237,0.0,0.21732494253477375,0.04470392403574459,0.0,0.0,0.021846797512758257,0.05485121805569259,0.005052093443557512,2.437756996476718e-5,0.06654996764030902,0.41867170104310936,0.4244311727978377,0.3534046257481481,0.4909372977771636,0.037930917061914975,0.7881867178713314,4642.031329452146,3378.251704642957,6651.171505187272,500,0.05,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.1,UB&PB,71554
2500,0.948068512155101,0.2521821539002448,0.13350877940673253,0.403480809091282,0.8966761076018298,0.8212002550969626,0.9532950639785647,0.39101939532151114,0.27988799804689624,0.5316259610527381,0.9734982231698659,0.026501776830135045,0.0184967612918689,0.000712387521529647,6.6343025265719135e-6,0.024753476348777313,0.0,0.08559630049446056,0.02577160279800404,0.00030717244081472644,0.0,0.04018166737984038,0.018612820337429642,0.004758303432932086,7.282954990041657e-5,0.025850375777145863,0.41727869845364646,0.4193168579563989,0.38058980550098054,0.45767226004503686,0.01835049872876491,0.9118289121263078,7074.754251306156,6291.6162995049335,8104.891778883768,500,0.1,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.15,UB&PB,71554
2500,0.9586641123691607,0.22896920731428133,0.11225329646629291,0.4226543986286477,0.887743485371325,0.8093071052087332,0.9498195613645916,0.5238414000268733,0.3379652086443984,0.7370322769479346,0.9698948116560048,0.03010518834399435,0.022578620237124418,0.0019341915871356958,2.9587636011200977e-5,0.0315689794383241,0.0,0.09901893496507831,0.030585866142640587,0.0023881157558671225,0.0,0.0481288074318501,0.02259802438538451,0.008188630347458413,0.0003761726397266332,0.031175489913794617,0.41774164895009286,0.41961595990431755,0.37962526941953006,0.45966625305877784,0.02866020478035071,0.9312004897477212,6495.3141331183615,5735.680279506588,7575.010309343158,500,0.15,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.2,UB&PB,71554
2500,0.968602865578564,0.233463018521497,0.1394675146958474,0.3517779943832375,0.9048030496156542,0.819379326452392,0.9557300031103403,0.5362086049831739,0.354294867732419,0.7294903017446158,0.9651940298507469,0.03480597014925378,0.025616686417273698,0.003838931575623029,4.9236311679212625e-5,0.039874611071616446,0.0,0.10403829898348671,0.034935787452048554,0.005044146557699969,0.0,0.05857400587162733,0.023300239533240927,0.008727300611277593,0.0002530932001836819,0.0350075080089547,0.41735435536876664,0.420499975002515,0.37640558020442305,0.46280688842558854,0.046763686372814674,0.9453717725401657,7206.272460634863,6491.638974872074,8186.441524240319,500,0.2,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.25,UB&PB,71554
2500,0.964551810577007,0.17205229557817747,0.09772085360388037,0.2872205013248823,0.8464348551476047,0.7151759834219109,0.930654746813515,0.3905469957702926,0.21174817506647425,0.5906131932225943,0.9716453447050469,0.028354655294953814,0.04046832492289969,0.017944005503481013,0.0004897363797271598,0.0694459924674024,3.648949984334685e-7,0.13621443759574278,0.05618995999563821,0.031240931606019914,4.301078473752532e-7,0.09794159420019709,0.0360652332650347,0.023438511290137194,0.002277008133033577,0.05776290856072347,0.4176028314511958,0.4211631176552405,0.3680566196352721,0.47265402905774473,0.04190024854934595,1.0514123939374527,4358.733007201506,3752.9493592472604,4961.297407940717,500,0.25,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.3,UB&PB,71554
2500,0.9574881456236676,0.16291532172035844,0.07920014379335498,0.2653739374457461,0.732123246336737,0.5873318517236534,0.8435016635450322,0.42040997903671246,0.2552567912434021,0.6313073422989645,0.9742629708599863,0.025737029140014217,0.06659419986446212,0.03942492447656221,0.0015345620393751125,0.11325807118817086,1.887934491929527e-5,0.2096872491849728,0.09228482446178025,0.06633404739549155,0.0013736355948147138,0.15527030489469215,0.06722373680386624,0.057175835235134226,0.01876424110574543,0.10114841621751008,0.4180358318755124,0.4230053205090725,0.3594056161509994,0.4829669994592326,0.10164655750235911,0.8168288831831404,2954.05978174623,2453.8661172347583,3467.382098961719,500,0.3,UB&PB,71554
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.35,UB&PB,71554
