time,Vbar,T,aleph,init_sens,n,λ,init_soc_h,t,seed
0,0.6627554888095706,1000,0.8,0.1,25,1.5,0.15,2,1
0,0.6715322859170095,1000,0.95,0.1,25,1.5,0.15,2,1
0,0.4474694967630378,1000,0.65,0.0,5,3.0,0.15,2,1
0,0.4481379760464466,1000,0.8,0.0,5,3.0,0.15,2,1
0,0.4492783759535345,1000,0.95,0.0,5,3.0,0.15,2,1
0,0.5417153334601995,1000,0.65,0.1,5,3.0,0.15,2,1
0,0.5574068748841237,1000,0.8,0.1,5,3.0,0.15,2,1
0,0.5697804960138546,1000,0.95,0.1,5,3.0,0.15,2,1
0,0.4585174035467121,1000,0.65,0.0,10,3.0,0.15,2,1
0,0.4589837352551824,1000,0.8,0.0,10,3.0,0.15,2,1
0,0.45972275527795836,1000,0.95,0.0,10,3.0,0.15,2,1
0,0.6334320566278124,1000,0.65,0.1,10,3.0,0.15,2,1
0,0.6478351835499379,1000,0.8,0.1,10,3.0,0.15,2,1
0,0.6680646857809198,1000,0.95,0.1,10,3.0,0.15,2,1
0,0.45479185676691786,1000,0.65,0.0,25,3.0,0.15,2,1
0,0.45515123495160825,1000,0.8,0.0,25,3.0,0.15,2,1
0,0.45578201488455855,1000,0.95,0.0,25,3.0,0.15,2,1
0,0.7336718390973294,1000,0.65,0.1,25,3.0,0.15,2,1
0,0.7528951708541497,1000,0.8,0.1,25,3.0,0.15,2,1
0,0.7843600232764217,1000,0.95,0.1,25,3.0,0.15,2,1
0,0.47952650504657945,1000,0.65,0.0,5,6.0,0.15,2,1
0,0.5045630365974807,1000,0.8,0.0,5,6.0,0.15,2,1
0,0.5874874131519175,1000,0.95,0.0,5,6.0,0.15,2,1
0,0.7344350200107136,1000,0.65,0.1,5,6.0,0.15,2,1
0,0.7609769325751158,1000,0.8,0.1,5,6.0,0.15,2,1
0,0.8048712931246887,1000,0.95,0.1,5,6.0,0.15,2,1
0,0.4766742749238903,1000,0.65,0.0,10,6.0,0.15,2,1
0,0.5029569812162683,1000,0.8,0.0,10,6.0,0.15,2,1
0,0.5888111219235909,1000,0.95,0.0,10,6.0,0.15,2,1
0,0.8472274176263809,1000,0.65,0.1,10,6.0,0.15,2,1
0,0.8861977724275055,1000,0.8,0.1,10,6.0,0.15,2,1
0,0.9282833235556763,1000,0.95,0.1,10,6.0,0.15,2,1
0,0.4876325792271474,1000,0.65,0.0,25,6.0,0.15,2,1
0,0.5127305145230485,1000,0.8,0.0,25,6.0,0.15,2,1
0,0.5931255800436183,1000,0.95,0.0,25,6.0,0.15,2,1
0,0.953574169398221,1000,0.65,0.1,25,6.0,0.15,2,1
0,0.9882241476369381,1000,0.8,0.1,25,6.0,0.15,2,1
0,1.0405068092607468,1000,0.95,0.1,25,6.0,0.15,2,1
0,0.6161274060391579,1000,0.65,0.0,5,1.5,0.2,2,1
0,0.6328346489166978,1000,0.8,0.0,5,1.5,0.2,2,1
0,0.6399204204246766,1000,0.95,0.0,5,1.5,0.2,2,1
0,0.6192362291681597,1000,0.65,0.1,5,1.5,0.2,2,1
0,0.6325295969886134,1000,0.8,0.1,5,1.5,0.2,2,1
0,0.6411319363345723,1000,0.95,0.1,5,1.5,0.2,2,1
0,0.6412580790946915,1000,0.65,0.0,10,1.5,0.2,2,1
0,0.6523804275996602,1000,0.8,0.0,10,1.5,0.2,2,1
0,0.6553177707682423,1000,0.95,0.0,10,1.5,0.2,2,1
0,0.645448598143749,1000,0.65,0.1,10,1.5,0.2,2,1
0,0.6549768235817249,1000,0.8,0.1,10,1.5,0.2,2,1
0,0.6583590188069555,1000,0.95,0.1,10,1.5,0.2,2,1
0,0.6382450421801515,1000,0.65,0.0,25,1.5,0.2,2,1
0,0.6454960347231844,1000,0.8,0.0,25,1.5,0.2,2,1
0,0.6482137341138139,1000,0.95,0.0,25,1.5,0.2,2,1
0,0.6600811072504001,1000,0.65,0.1,25,1.5,0.2,2,1
0,0.6693673691839217,1000,0.8,0.1,25,1.5,0.2,2,1
0,0.6785816115047907,1000,0.95,0.1,25,1.5,0.2,2,1
0,0.45560782768943153,1000,0.65,0.0,5,3.0,0.2,2,1
0,0.45775158257019427,1000,0.8,0.0,5,3.0,0.2,2,1
0,0.4616274665074504,1000,0.95,0.0,5,3.0,0.2,2,1
0,0.5652269400653676,1000,0.65,0.1,5,3.0,0.2,2,1
0,0.5734671372147425,1000,0.8,0.1,5,3.0,0.2,2,1
0,0.5952231502035218,1000,0.95,0.1,5,3.0,0.2,2,1
0,0.46497055698602674,1000,0.65,0.0,10,3.0,0.2,2,1
0,0.4658662434384635,1000,0.8,0.0,10,3.0,0.2,2,1
0,0.4678594846601249,1000,0.95,0.0,10,3.0,0.2,2,1
0,0.6494618046630358,1000,0.65,0.1,10,3.0,0.2,2,1
0,0.667456722541433,1000,0.8,0.1,10,3.0,0.2,2,1
0,0.6903479918999661,1000,0.95,0.1,10,3.0,0.2,2,1
0,0.4604912900817886,1000,0.65,0.0,25,3.0,0.2,2,1
0,0.46095139776213445,1000,0.8,0.0,25,3.0,0.2,2,1
