time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,μ,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,UB&PB,45069
2500,0.975251041724004,0.09753222389642478,0.04645349608248721,0.16630743901856085,0.06788776678957635,0.0309668005035256,0.11737184459464997,0.7455626618284752,0.6412517864881467,0.8499241433335667,0.8377078891257987,0.1622921108742005,0.4337730766307219,0.4724821008609124,0.3116503964376193,0.5814638674377267,0.05215331607700769,0.6808244782165451,0.5199142144413711,0.5689799831590407,0.43403612919579,0.6495729470760436,0.5683847983758629,0.574448289023707,0.5257998201980711,0.6182617353255473,0.5952452330806581,0.6066342004339517,0.5465520001570899,0.6496461499241326,0.4188461585250215,0.7326174131551626,604.2962424500457,538.8804186088792,683.1174672684488,0.1,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,UB&PB,45069
2500,0.9922163955990158,0.08920045151773338,0.04218175094267527,0.15391007220020197,0.06288378287673373,0.02858830820362478,0.1095019736883073,0.8146615337110703,0.7247828005474517,0.89150686213979,0.8281940298507462,0.171805970149254,0.44434827084473594,0.4851351413079691,0.32388051538720364,0.5905561639498176,0.06229047482317872,0.6879707985848291,0.5309605744410744,0.5793362461672714,0.4510364567878568,0.6566711489404784,0.5743594122969966,0.5795670177605883,0.5313292254819603,0.6240254801200907,0.5952336108843779,0.608165777508943,0.5436692314506579,0.6520912186923623,0.4078007659276964,0.7234779077884158,597.2630259062972,539.8034053738886,670.1496317372325,0.15,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,UB&PB,45069
2500,1.007487721958623,0.0877293145205868,0.04034205151476998,0.15305914523302389,0.06637177385857061,0.031531120383797566,0.11043869498214753,0.785368181367455,0.6941051949458824,0.8665217375914165,0.8413020611229571,0.15869793887704342,0.4631711343573868,0.5046325459935328,0.35379046862497693,0.6011634662776258,0.0904308530467176,0.6922252068387525,0.5476467110348975,0.5928162587837932,0.4776880938742022,0.6631578721675491,0.5819540828642371,0.5868030164781747,0.5414692402608742,0.6281476163226424,0.595484799351721,0.6092935109776236,0.5422935913488496,0.6533912211204007,0.4332719412083215,0.7733008731856393,595.2750886250021,541.7704584361712,659.8386304963034,0.2,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,UB&PB,45069
2500,1.0188869375233394,0.11155683554788988,0.05611553975427046,0.18106032339210965,0.06271669333543527,0.027285014820135883,0.10996321354059647,0.6822452403340412,0.5880436958613325,0.7809619657353141,0.8289644633972989,0.17103553660270107,0.4860996721541479,0.5270781584882713,0.39220942912474344,0.6111785017888558,0.1347513042421002,0.6945782590114146,0.5650353926307021,0.6054869484894441,0.5050202252517235,0.6683762124349074,0.5923784093433159,0.5963635824523583,0.557545332942255,0.6317781291998128,0.5950029446088763,0.604977399511773,0.5503261501061111,0.6458582565053747,0.45620110872880465,0.8083936716287102,597.5298535816156,543.3181123261861,661.3087214235707,0.25,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,UB&PB,45069
2500,1.035271713243844,0.11060779866467939,0.055360626726249,0.18118222829818725,0.05968493948940137,0.025969174492146255,0.10580427591725833,0.7441407096884576,0.643215270574306,0.8444050519898186,0.8378891257995746,0.16211087420042664,0.49234470232238364,0.5352736104865955,0.3988889035300512,0.6171695189461469,0.1380317834552186,0.698922961505455,0.5709851809058458,0.6111911375611231,0.5147078515888643,0.672198455529957,0.5939043489649939,0.5978909248061518,0.5592533060286253,0.6331489336205759,0.5954164923398106,0.605203967746025,0.5509023476553213,0.6461042114160889,0.5095618174112867,0.864395935660527,595.5024815757669,545.0246253513488,657.9519125452985,0.3,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.05,UB&PB,45069
2500,1.048479655811769,0.10937722615869051,0.05024455285197623,0.18936010164080339,0.07045347310170332,0.031535443602455325,0.12083209955264508,0.716410964359581,0.6010016390976441,0.8345488097446733,0.86118052594172,0.13881947405828007,0.49905043114957254,0.5424532647003063,0.4109479425061175,0.6201734548675975,0.14688373114940098,0.6995330055047649,0.5753065156397575,0.6137427689141655,0.5221772923705214,0.6732721978488033,0.5929230988912229,0.59683273464124,0.5592971012485446,0.6308292991981238,0.595094353052263,0.6051198572930961,0.5503810071179466,0.6461521457563649,0.528825738263564,0.8546672250738886,603.4614932606772,548.7855664683483,670.9894760985544,0.35,0.05,UB&PB,45069
