time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,λ,t,seed
0,0.0,0.0,0.3345803264,0.1745803264,0.2561496867962302,0.4732905957349647,1000,0.95,0.055,5,1.5,2,1
0,0.0,0.0,0.3287146538661112,0.20071465386611118,0.25992662613388884,0.3331734001594233,1000,0.65,0.06,5,1.5,2,1
0,0.0,0.0,0.3281432590000882,0.18689860653491241,0.2590951409999118,0.3935915740276271,1000,0.8,0.06,5,1.5,2,1
0,0.0,0.0,0.3302039292734271,0.17020392927342712,0.25480471072657296,0.48012511648124534,1000,0.95,0.06,5,1.5,2,1
0,0.0,0.0,0.32447333090143593,0.19927850570072408,0.25952666909856403,0.3476669217003608,1000,0.65,0.065,5,1.5,2,1
0,0.0,0.0,0.3223348342368527,0.19072458873604606,0.26166516576314724,0.40254104580136896,1000,0.8,0.065,5,1.5,2,1
0,0.0,0.0,0.32574394295826076,0.17374394295826076,0.2588284272605758,0.48803354331355836,1000,0.95,0.065,5,1.5,2,1
0,0.0,0.0,0.32,0.20014555350882376,0.2602189739611866,0.35728966831339115,1000,0.65,0.07,5,1.5,2,1
0,0.0,0.0,0.3209385412689486,0.1985228642385486,0.2640514282310954,0.4143484793318676,1000,0.8,0.07,5,1.5,2,1
0,0.0,0.0,0.32128212876187257,0.18122892015686312,0.2627178712381274,0.4947105667648383,1000,0.95,0.07,5,1.5,2,1
0,0.0,0.0,0.3189702201366894,0.21233921753242574,0.26285680066331074,0.36467041741462897,1000,0.65,0.075,5,1.5,2,1
0,0.0,0.0,0.31894868301371176,0.19894868301371177,0.26391550371116984,0.4220875758848219,1000,0.8,0.075,5,1.5,2,1
0,0.0,0.0,0.31999999999999995,0.18623999999999993,0.25943262995084637,0.5085570005470266,1000,0.95,0.075,5,1.5,2,1
0,0.0,0.0,0.3136772232969329,0.21482026329693293,0.26303229927084515,0.37379798910551615,1000,0.65,0.08,5,1.5,2,1
0,0.0,0.0,0.3123297037183178,0.2036638713665601,0.27167029628168216,0.43315759824095773,1000,0.8,0.08,5,1.5,2,1
0,0.0,0.0,0.314786568606967,0.18678656860696702,0.2644426481610331,0.5139549533011712,1000,0.95,0.08,5,1.5,2,1
0,0.0,0.0,0.3058563659503475,0.21353473274703236,0.2715263536883512,0.38758871988925253,1000,0.65,0.085,5,1.5,2,1
0,0.0,0.0,0.308852793344,0.207005186559648,0.26977008617767423,0.44173491565667006,1000,0.8,0.085,5,1.5,2,1
0,0.0,0.0,0.3087795480745805,0.1887795480745805,0.26607357192541947,0.5186603087602495,1000,0.95,0.085,5,1.5,2,1
0,0.0,0.0,0.30192762887817115,0.22129602567817114,0.2720530431218289,0.3966545693392392,1000,0.65,0.09,5,1.5,2,1
0,0.0,0.0,0.30198543303599334,0.20842555405533997,0.2746545669640067,0.44602108696427395,1000,0.8,0.09,5,1.5,2,1
0,0.0,0.0,0.30464310314040927,0.1916778971963618,0.27029250005959077,0.5276282655934709,1000,0.95,0.09,5,1.5,2,1
0,0.0,0.0,0.2959579627243448,0.21866616200039002,0.2784804372756553,0.4106767452617051,1000,0.65,0.095,5,1.5,2,1
0,0.0,0.0,0.2992,0.2187713836137643,0.27493531648,0.453542552081938,1000,0.8,0.095,5,1.5,2,1
0,0.0,0.0,0.3025669879934264,0.19816212072009556,0.2710784792748073,0.5321392464520502,1000,0.95,0.095,5,1.5,2,1
0,0.0,0.0,0.29355975854053984,0.2325076382449678,0.27915960145946017,0.4181013847673469,1000,0.65,0.1,5,1.5,2,1
0,0.0,0.0,0.29356963521708873,0.21678826627286785,0.28173479067236745,0.46014011114708314,1000,0.8,0.1,5,1.5,2,1
0,0.0,0.0,0.29845299248674406,0.20245299248674406,0.2736338892852127,0.5415467028604933,1000,0.95,0.1,5,1.5,2,1
0,0.0,0.0,0.288,0.23199999999999998,0.28384440379126,0.41880674188452116,1000,0.65,0.105,5,1.5,2,1
0,0.0,0.0,0.28974621410660084,0.2202361356642029,0.2808314775626032,0.46887276759032126,1000,0.8,0.105,5,1.5,2,1
0,0.0,0.0,0.2945529883290486,0.2024109292296026,0.27443149551095153,0.5450983160765367,1000,0.95,0.105,5,1.5,2,1
0,0.0,0.0,0.2808613439844133,0.2408613439844133,0.28745609601558675,0.43191395363574053,1000,0.65,0.11,5,1.5,2,1
0,0.0,0.0,0.28160611258271484,0.22244066903328263,0.2895938874172851,0.47840394849421736,1000,0.8,0.11,5,1.5,2,1
0,0.0,0.0,0.28889741829828,0.20889741829827996,0.27910258170172,0.5526539737278007,1000,0.95,0.11,5,1.5,2,1
0,0.0,0.0,0.27854497486876006,0.23957204846330188,0.29009502513123997,0.4365326393693406,1000,0.65,0.115,5,1.5,2,1
0,0.0,0.0,0.27999999999999997,0.23243586692449086,0.2864064000000001,0.49053358373846706,1000,0.8,0.115,5,1.5,2,1
0,0.0,0.0,0.28385194669449765,0.21008802265537307,0.28244036646260073,0.5623849175271978,1000,0.95,0.115,5,1.5,2,1
0,0.0,0.0,0.275297809750926,0.25652300371401154,0.29270219024907396,0.44132207161127357,1000,0.65,0.12,5,1.5,2,1
0,0.0,0.0,0.2767867100141328,0.2367867100141328,0.29121328998586715,0.49688747603224154,1000,0.8,0.12,5,1.5,2,1
0,0.0,0.0,0.28170193215740313,0.2163267894131572,0.2856174299956672,0.5631325379240858,1000,0.95,0.12,5,1.5,2,1
0,0.0,0.0,0.26615025241196166,0.25343998837640364,0.2986497475880383,0.45285134677331573,1000,0.65,0.125,5,1.5,2,1
0,0.0,0.0,0.2704,0.24612943732450482,0.2970833920000001,0.4975838616603216,1000,0.8,0.125,5,1.5,2,1
0,0.0,0.0,0.2747337600759003,0.21873376007590029,0.28646138979501096,0.5671663258459397,1000,0.95,0.125,5,1.5,2,1
